A,B
fancd2,ndufs1
fancd2,rpn2
fancd2,nop58
fancd2,rps27l
fancd2,hnrnpm
fancd2,myo1f
fancd2,phgdh
fancd2,nup160
fancd2,lig1
fancd2,psmb3
fancd2,eef1d
fancd2,hnrnpul1
fancd2,sfxn1
fancd2,rfc4
fancd2,brd1
fancd2,ddx1
fancd2,isg20l2
fancd2,rplp2
fancd2,ddx39
fancd2,marcksl1
fancd2,ahdc1
fancd2,atp5c1
fancd2,hmgcl
fancd2,atp5o
fancd2,cux1
fancd2,mars
fancd2,rpl37a
fancd2,lyz1
fancd2,ahsa1
fancd2,pwp2
fancd2,xpnpep1
fancd2,nat10
fancd2,h13
fancd2,rps10
fancd2,pum1
fancd2,hnrnpab
fancd2,gnl2
fancd2,eftud2
fancd2,rpl13
fancd2,mrps22
fancd2,cct8
fancd2,h2-dmb1
fancd2,atp2b4
fancd2,get4
fancd2,skiv2l2
fancd2,dcaf7
fancd2,eif3c
fancd2,hk3
fancd2,palm
fancd2,ddx27
fancd2,cpsf2
fancd2,ckap4
fancd2,imp3
fancd2,tbc1d9b
fancd2,chpf
fancd2,nop2
fancd2,pfkfb3
fancd2,mdn1
fancd2,psmd9
fancd2,atp2a3
fancd2,gar1
fancd2,hfe
fancd2,kctd12
fancd2,slc3a2
fancd2,gnas
fancd2,apobec3
fancd2,gars
fancd2,chd3
fancd2,fam49b
fancd2,etfa
fancd2,lonp1
fancd2,snrnp200
fancd2,btaf1
fancd2,cope
fancd2,ddost
fancd2,prpf8
fancd2,tm9sf3
fancd2,tuba8
fancd2,hadha
fancd2,atp5f1
fancd2,lrrc1
fancd2,sf3b2
fancd2,fads3
fancd2,gramd3
fancd2,ctsw
fancd2,lmnb2
fancd2,dym
fancd2,akap8l
fancd2,msh6
fancd2,fads1
fancd2,acin1
fancd2,slc25a1
fancd2,bdh1
fancd2,rsu1
fancd2,usp15
fancd2,ndufa13
fancd2,dclre1a
fancd2,prkd2
fancd2,orc6
fancd2,myo1g
fancd2,treml1
fancd2,wdfy4
fancd2,myct1
fancd2,tyms
fancd2,spin1
fancd2,ankrd44
fancd2,prdx4
fancd2,lpcat4
fancd2,ssh1
fancd2,mettl13
fancd2,itm2c
fancd2,tfam
fancd2,f10
fancd2,bdp1
fancd2,slc29a1
fancd2,mpp4
fancd2,nrg2
fancd2,arf1
fancd2,ssr4
fancd2,polr1c
fancd2,c1qb
fancd2,hint1
fancd2,srm
fancd2,cdk12
fancd2,dctpp1
fancd2,maged2
fancd2,daam1
fancd2,aldh2
fancd2,ugdh
fancd2,gart
fancd2,9530068e07rik
fancd2,dcaf8
fancd2,aldh1b1
fancd2,sec63
fancd2,hdc
fancd2,galnt1
fancd2,vat1
fancd2,paics
fancd2,tkt
fancd2,etf1
fancd2,smtn
fancd2,ktn1
fancd2,tgfbi
fancd2,adsl
fancd2,lonp2
fancd2,atic
fancd2,aldh1a1
fancd2,osbpl8
fancd2,tecr
fancd2,srprb
fancd2,sae1
fancd2,c1qc
fancd2,itm2a
fancd2,fis1
fancd2,uqcrfs1
fancd2,gpx3
fancd2,gcat
fancd2,copz2
fancd2,ddah2
fancd2,arl8a
fancd2,poldip2
fancd2,prpsap1
fancd2,rbpms
fancd2,tk1
fancd2,tsen34
fancd2,nmral1
fancd2,txndc5
fancd2,eif4g3
fancd2,usp36
fancd2,cyp11a1
fancd2,bsg
fancd2,nup210
fancd2,ctsg
fancd2,ppp6r1
fancd2,fgd2
fancd2,rnf213
fancd2,gmfg
fancd2,ltb4r1
fancd2,slc43a1
fancd2,armc9
fancd2,zyx
fancd2,ab124611
fancd2,gimap7
fancd2,gimap1
fancd2,prpf3
fancd2,heatr1
fancd2,epx
fancd2,zfp800
fancd2,prg2
fancd2,mki67
fancd2,rbm5
fancd2,rsl1d1
fancd2,atp5j2
fancd2,wdr74
fancd2,spcs2
fancd2,sp110
fancd2,plbd1
fancd2,klhl36
fancd2,cnn2
fancd2,fbxw10
fancd2,mrto4
fancd2,spcs3
fancd2,atp5h
fancd2,asns
fancd2,mrpl20
fancd2,pnp
tcf3,ivns1abp
tcf3,cdh1
tcf3,tal1
tcf3,foxp3
tcf3,ubc
tcf3,stip1
tcf3,ube2i
tcf3,id3
tcf3,ldb1
tcf3,stub1
tcf3,hist1h4d
tcf3,pdcd6
tcf3,tcf4
tcf3,olig2
tcf3,myod1
tcf3,ralgapa1
tcf3,ascl1
tcf3,meis2
tcf3,phf2
tcf3,polr1a
tcf3,taf1b
tcf3,trim27
tcf3,brca1
tcf3,ciita
tcf3,gfi1
tcf3,tsc22d3
tcf3,elavl2
tcf3,id1
tcf3,ikbkg
tcf3,bhlhe41
tcf3,neurog2
tcf3,id2
tcf3,hand2
tcf3,tcf12
tcf3,ferd3l
tcf3,lmo2
